n,"Single Threaded(ms)","Multi Threaded (ms)",Difference
5,37,76,39
10,60,112,52
15,86,129,43
20,125,162,37
25,162,160,2
30,290,193,97
35,441,248,193
40,669,270,399
45,1112,287,825
50,1481,278,1203
55,2345,347,1998
60,5056,424,4632
65,5752,534,5218
70,7973,803,7170
75,17660,1363,16297
80,19142,1407,17735
85,28910,1263,27647
90,58400,2046,56354
95,55917,2370,53547
100,82973,1969,81004
105,158591,3468,155123
110,180390,6297,174093
115,179165,8960,170205
120,348204,11301,336903
125,349778,4950,336897
